"","trip_id","season_id","season","Nhunt","Nhunt_s","j_id","age_cat","gender","gender_id","income_s","indegree_s","outdegree_s","patch_id","harvest","income_s_complete"
"20",20,2,"ice-free",1,-0.915594594786875,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,4,0,-1.92825292913458
"21",21,1,"ice",4,0.29979646023995,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,4,0,1.61991809417551
"22",22,1,"ice",7,1.51518751526678,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,4,0,0.354091364656257
"23",23,2,"ice-free",2,-0.510464243111267,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,1,1,0.901005187895897
"24",24,1,"ice",4,0.29979646023995,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,4,0,0.279727493975054
"25",25,1,"ice",3,-0.105333891435658,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,5,1,-0.154969234540543
"26",26,1,"ice",6,1.11005716359117,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,5,1,1.08512476139294
"27",27,2,"ice-free",9,2.32544821861799,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,3,1,0.901005187895897
"28",28,1,"ice",1,-0.915594594786875,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,6,1,-1.23753414834895
"29",29,1,"ice",2,-0.510464243111267,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,4,0,-1.23753414834895
"30",30,1,"ice",3,-0.105333891435658,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,5,1,-1.92825292913458
"31",31,2,"ice-free",2,-0.510464243111267,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,7,0,-2.41590687749337
"32",32,1,"ice",2,-0.510464243111267,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,4,1,0.901005187895897
"33",33,1,"ice",7,1.51518751526678,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"34",34,1,"ice",2,-0.510464243111267,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,6,1,-0.0828429928667989
"35",35,2,"ice-free",4,0.29979646023995,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,2,0,1.08512476139294
"36",36,1,"ice",1,-0.915594594786875,24,2,"m",1,0.0958316833787594,-0.0506640397104899,0.959415492708661,5,0,0.0958316833787594
"37",37,2,"ice-free",10,2.7305785702936,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,2,1,-0.154969234540543
"38",38,2,"ice-free",2,-0.510464243111267,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,2,0,-1.23753414834895
"39",39,2,"ice-free",2,-0.510464243111267,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,4,0,-2.41590687749337
"40",40,2,"ice-free",2,-0.510464243111267,23,3,"m",1,0.405034718392728,1.21593695305176,-0.302973313486946,7,1,0.405034718392728
"41",41,2,"ice-free",2,-0.510464243111267,9,2,"f",2,-0.427139509481074,-0.0506640397104899,2.22180429890427,2,0,-0.427139509481074
"42",42,1,"ice",2,-0.510464243111267,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,5,0,0.0435457522378133
"43",43,1,"ice",8,1.92031786694238,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,5,1,-0.0828429928667989
"44",44,2,"ice-free",2,-0.510464243111267,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,1,0,-1.92825292913458
"45",45,2,"ice-free",9,2.32544821861799,23,3,"m",1,0.405034718392728,1.21593695305176,-0.302973313486946,1,0,0.405034718392728
"46",46,1,"ice",2,-0.510464243111267,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,5,0,1.08512476139294
"47",47,1,"ice",2,-0.510464243111267,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,5,1,0.456873123732183
"48",48,1,"ice",1,-0.915594594786875,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,4,1,1.13539682642717
"49",49,1,"ice",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,6,1,0.456873123732183
"50",50,2,"ice-free",1,-0.915594594786875,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,4,0,0.279727493975054
"51",51,2,"ice-free",2,-0.510464243111267,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,7,1,0.354091364656257
"52",52,1,"ice",7,1.51518751526678,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,5,1,-0.16477750835657
"53",53,1,"ice",5,0.704926811915559,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,4,1,-0.0828429928667989
"54",54,2,"ice-free",4,0.29979646023995,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,2,1,-1.92825292913458
"55",55,1,"ice",3,-0.105333891435658,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,4,0,0.477235547700055
"56",56,2,"ice-free",1,-0.915594594786875,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,2,1,-0.499489514055565
"57",57,1,"ice",1,-0.915594594786875,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,6,0,-1.92825292913458
"58",58,1,"ice",1,-0.915594594786875,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,6,1,-0.154969234540543
"59",59,2,"ice-free",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,1,1,0.456873123732183
"60",60,1,"ice",3,-0.105333891435658,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,4,0,-0.0828429928667989
"61",61,2,"ice-free",5,0.704926811915559,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,2,1,-1.23753414834895
"62",62,1,"ice",2,-0.510464243111267,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,6,0,0.0435457522378133
"63",63,2,"ice-free",10,2.7305785702936,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,1,1,0.0435457522378133
"64",64,1,"ice",2,-0.510464243111267,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,4,0,-1.23753414834895
"65",65,1,"ice",3,-0.105333891435658,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,4,1,0.279727493975054
"66",66,1,"ice",1,-0.915594594786875,11,2,"m",1,999,1.21593695305176,-0.934167716584749,7,0,2.00635662376359
"67",67,1,"ice",3,-0.105333891435658,23,3,"m",1,0.405034718392728,1.21593695305176,-0.302973313486946,4,0,0.405034718392728
"68",68,1,"ice",2,-0.510464243111267,3,3,"m",1,-0.498855519170118,-0.0506640397104899,0.328221089610858,6,1,-0.498855519170118
"69",69,1,"ice",5,0.704926811915559,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,5,1,-0.154969234540543
"70",70,2,"ice-free",3,-0.105333891435658,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,3,1,1.61991809417551
"71",71,1,"ice",1,-0.915594594786875,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,6,1,-0.499489514055565
"72",72,2,"ice-free",1,-0.915594594786875,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,4,0,0.354091364656257
"73",73,2,"ice-free",1,-0.915594594786875,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,3,1,0.477235547700055
"74",74,1,"ice",3,-0.105333891435658,21,3,"f",2,999,-0.683964536091614,0.959415492708661,6,1,0.0666306248314265
"75",75,1,"ice",2,-0.510464243111267,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,5,1,-0.16477750835657
"76",76,2,"ice-free",1,-0.915594594786875,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,4,0,1.61991809417551
"77",77,1,"ice",2,-0.510464243111267,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"78",78,2,"ice-free",3,-0.105333891435658,11,2,"m",1,999,1.21593695305176,-0.934167716584749,2,1,2.00635662376359
"79",79,1,"ice",1,-0.915594594786875,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,5,1,-1.10831107316822
"80",80,2,"ice-free",5,0.704926811915559,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,3,0,0.354091364656257
"81",81,1,"ice",9,2.32544821861799,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,4,1,-2.41590687749337
"82",82,1,"ice",1,-0.915594594786875,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,5,0,0.0357886383452906
"83",83,2,"ice-free",6,1.11005716359117,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,2,1,0.456873123732183
"84",84,1,"ice",2,-0.510464243111267,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"85",85,2,"ice-free",2,-0.510464243111267,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,1,0,0.456873123732183
"86",86,2,"ice-free",4,0.29979646023995,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,1,0,1.08512476139294
"87",87,2,"ice-free",1,-0.915594594786875,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,2,1,0.0357886383452906
"88",88,1,"ice",1,-0.915594594786875,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,5,1,-2.41590687749337
"89",89,1,"ice",5,0.704926811915559,11,2,"m",1,999,1.21593695305176,-0.934167716584749,4,0,2.00635662376359
"90",90,1,"ice",8,1.92031786694238,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,7,1,-0.154969234540543
"91",91,1,"ice",1,-0.915594594786875,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,4,0,-1.10831107316822
"92",92,2,"ice-free",4,0.29979646023995,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,1,0,-0.444481134288878
"93",93,1,"ice",7,1.51518751526678,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,7,0,-0.499489514055565
"94",94,1,"ice",5,0.704926811915559,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,6,1,0.456873123732183
"95",95,1,"ice",1,-0.915594594786875,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,5,1,1.08512476139294
"96",96,2,"ice-free",6,1.11005716359117,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,1,1,0.0435457522378133
"97",97,1,"ice",10,2.7305785702936,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,5,1,-0.499489514055565
"98",98,2,"ice-free",1,-0.915594594786875,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,3,0,-0.16477750835657
"99",99,1,"ice",1,-0.915594594786875,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"100",100,1,"ice",2,-0.510464243111267,24,2,"m",1,0.0958316833787594,-0.0506640397104899,0.959415492708661,6,1,0.0958316833787594
"101",101,1,"ice",2,-0.510464243111267,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,6,0,0.0435457522378133
"102",102,2,"ice-free",2,-0.510464243111267,11,2,"m",1,999,1.21593695305176,-0.934167716584749,3,1,2.00635662376359
"103",103,1,"ice",10,2.7305785702936,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,6,1,-2.41590687749337
"104",104,2,"ice-free",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,1,0,0.456873123732183
"105",105,1,"ice",1,-0.915594594786875,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,4,0,0.901005187895897
"106",106,1,"ice",1,-0.915594594786875,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,6,1,-1.10831107316822
"107",107,1,"ice",3,-0.105333891435658,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,5,1,-0.444481134288878
"108",108,1,"ice",2,-0.510464243111267,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,7,0,1.13539682642717
"109",109,2,"ice-free",9,2.32544821861799,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,4,1,-0.0828429928667989
"110",110,1,"ice",2,-0.510464243111267,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,5,0,1.61991809417551
"111",111,1,"ice",3,-0.105333891435658,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,6,1,-1.92825292913458
"112",112,1,"ice",3,-0.105333891435658,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,6,1,0.354091364656257
"113",113,1,"ice",9,2.32544821861799,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,6,1,-2.41590687749337
"114",114,1,"ice",8,1.92031786694238,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,5,0,0.456873123732183
"115",115,1,"ice",1,-0.915594594786875,21,3,"f",2,999,-0.683964536091614,0.959415492708661,4,1,0.0666306248314265
"116",116,2,"ice-free",1,-0.915594594786875,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,3,1,0.0435457522378133
"117",117,2,"ice-free",9,2.32544821861799,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,7,1,-0.0828429928667989
"118",118,1,"ice",2,-0.510464243111267,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,5,1,-1.10831107316822
"119",119,2,"ice-free",4,0.29979646023995,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,3,1,0.477235547700055
"120",120,1,"ice",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,7,0,0.456873123732183
"121",121,1,"ice",3,-0.105333891435658,9,2,"f",2,-0.427139509481074,-0.0506640397104899,2.22180429890427,4,1,-0.427139509481074
"122",122,1,"ice",2,-0.510464243111267,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,7,0,0.477235547700055
"123",123,2,"ice-free",2,-0.510464243111267,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,4,0,0.0357886383452906
"124",124,2,"ice-free",1,-0.915594594786875,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,2,1,-1.10831107316822
"125",125,2,"ice-free",2,-0.510464243111267,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,2,1,1.13539682642717
"126",126,1,"ice",2,-0.510464243111267,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,5,0,0.456873123732183
"127",127,2,"ice-free",1,-0.915594594786875,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,7,1,0.354091364656257
"128",128,2,"ice-free",1,-0.915594594786875,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,2,0,-2.41590687749337
"129",129,2,"ice-free",3,-0.105333891435658,11,2,"m",1,999,1.21593695305176,-0.934167716584749,4,0,2.00635662376359
"130",130,2,"ice-free",2,-0.510464243111267,21,3,"f",2,999,-0.683964536091614,0.959415492708661,1,0,0.0666306248314265
"131",131,2,"ice-free",1,-0.915594594786875,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,1,0,0.901005187895897
"132",132,1,"ice",1,-0.915594594786875,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,4,0,0.477235547700055
"133",133,1,"ice",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,7,0,0.456873123732183
"134",134,1,"ice",2,-0.510464243111267,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,7,0,-1.10831107316822
"135",135,2,"ice-free",2,-0.510464243111267,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,2,0,-0.0828429928667989
"136",136,1,"ice",1,-0.915594594786875,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,5,0,0.354091364656257
"137",137,1,"ice",2,-0.510464243111267,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,5,1,-0.444481134288878
"138",138,2,"ice-free",6,1.11005716359117,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,3,1,0.477235547700055
"139",139,1,"ice",7,1.51518751526678,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,5,1,1.13539682642717
"140",140,1,"ice",1,-0.915594594786875,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,6,1,0.354091364656257
"141",141,1,"ice",3,-0.105333891435658,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,6,0,0.901005187895897
"142",142,1,"ice",1,-0.915594594786875,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,6,1,1.08512476139294
"143",143,1,"ice",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,5,0,-0.444481134288878
"144",144,1,"ice",3,-0.105333891435658,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,6,1,-0.0828429928667989
"145",145,2,"ice-free",4,0.29979646023995,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,2,1,-0.499489514055565
"146",146,1,"ice",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,6,1,-0.444481134288878
"147",147,1,"ice",6,1.11005716359117,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,6,1,-0.154969234540543
"148",148,1,"ice",2,-0.510464243111267,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,7,0,0.279727493975054
"149",149,1,"ice",4,0.29979646023995,10,3,"f",2,-1.10831107316822,-0.683964536091614,-0.302973313486946,5,1,-1.10831107316822
"150",150,2,"ice-free",1,-0.915594594786875,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,2,0,0.901005187895897
"151",151,2,"ice-free",2,-0.510464243111267,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,2,0,-0.0828429928667989
"152",152,1,"ice",6,1.11005716359117,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,4,0,-1.23753414834895
"153",153,1,"ice",5,0.704926811915559,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,5,1,1.13539682642717
"154",154,1,"ice",1,-0.915594594786875,23,3,"m",1,0.405034718392728,1.21593695305176,-0.302973313486946,4,0,0.405034718392728
"155",155,1,"ice",3,-0.105333891435658,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,4,0,1.13539682642717
"156",156,2,"ice-free",3,-0.105333891435658,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,3,1,-0.154969234540543
"157",157,1,"ice",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,6,1,-0.444481134288878
"158",158,1,"ice",4,0.29979646023995,11,2,"m",1,999,1.21593695305176,-0.934167716584749,6,0,2.00635662376359
"159",159,2,"ice-free",1,-0.915594594786875,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,1,0,0.0357886383452906
"160",160,2,"ice-free",8,1.92031786694238,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,3,1,1.61991809417551
"161",161,2,"ice-free",1,-0.915594594786875,1,1,"m",1,-0.0828429928667989,2.482537945814,1.59060989580646,7,1,-0.0828429928667989
"162",162,2,"ice-free",10,2.7305785702936,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,2,1,0.0357886383452906
"163",163,1,"ice",1,-0.915594594786875,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,6,1,0.456873123732183
"164",164,1,"ice",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,7,0,-0.444481134288878
"165",165,2,"ice-free",7,1.51518751526678,21,3,"f",2,999,-0.683964536091614,0.959415492708661,2,0,0.0666306248314265
"166",166,1,"ice",1,-0.915594594786875,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,5,1,-0.16477750835657
"167",167,1,"ice",5,0.704926811915559,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,6,1,0.354091364656257
"168",168,1,"ice",3,-0.105333891435658,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,6,1,-0.444481134288878
"169",169,1,"ice",3,-0.105333891435658,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,6,1,-2.41590687749337
"170",170,1,"ice",2,-0.510464243111267,9,2,"f",2,-0.427139509481074,-0.0506640397104899,2.22180429890427,4,1,-0.427139509481074
"171",171,1,"ice",7,1.51518751526678,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,5,1,0.0435457522378133
"172",172,2,"ice-free",1,-0.915594594786875,9,2,"f",2,-0.427139509481074,-0.0506640397104899,2.22180429890427,1,1,-0.427139509481074
"173",173,1,"ice",3,-0.105333891435658,15,3,"m",1,0.0435457522378133,-1.31726503247274,-0.302973313486946,6,0,0.0435457522378133
"174",174,1,"ice",3,-0.105333891435658,24,2,"m",1,0.0958316833787594,-0.0506640397104899,0.959415492708661,6,1,0.0958316833787594
"175",175,2,"ice-free",1,-0.915594594786875,22,3,"m",1,1.61991809417551,-0.0506640397104899,-0.934167716584749,2,1,1.61991809417551
"176",176,2,"ice-free",2,-0.510464243111267,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,2,1,0.0357886383452906
"177",177,1,"ice",2,-0.510464243111267,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,5,1,-0.444481134288878
"178",178,1,"ice",1,-0.915594594786875,4,4,"m",1,1.08512476139294,-1.31726503247274,0.328221089610858,6,1,1.08512476139294
"179",179,1,"ice",2,-0.510464243111267,3,3,"m",1,-0.498855519170118,-0.0506640397104899,0.328221089610858,5,1,-0.498855519170118
"180",180,2,"ice-free",2,-0.510464243111267,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,4,0,0.0357886383452906
"181",181,1,"ice",2,-0.510464243111267,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,0,-0.16477750835657
"182",182,2,"ice-free",2,-0.510464243111267,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,3,0,1.13539682642717
"183",183,2,"ice-free",4,0.29979646023995,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,2,1,-0.16477750835657
"184",184,1,"ice",5,0.704926811915559,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,5,1,1.13539682642717
"185",185,1,"ice",1,-0.915594594786875,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,7,0,-0.499489514055565
"186",186,1,"ice",8,1.92031786694238,9,2,"f",2,-0.427139509481074,-0.0506640397104899,2.22180429890427,7,0,-0.427139509481074
"187",187,1,"ice",9,2.32544821861799,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,4,1,0.279727493975054
"188",188,2,"ice-free",2,-0.510464243111267,6,3,"m",1,1.13539682642717,-0.0506640397104899,-0.302973313486946,3,1,1.13539682642717
"189",189,1,"ice",3,-0.105333891435658,21,3,"f",2,999,-0.683964536091614,0.959415492708661,5,1,0.0666306248314265
"190",190,2,"ice-free",8,1.92031786694238,25,2,"m",1,-0.499489514055565,-0.0506640397104899,-0.934167716584749,4,0,-0.499489514055565
"191",191,2,"ice-free",8,1.92031786694238,24,2,"m",1,0.0958316833787594,-0.0506640397104899,0.959415492708661,4,0,0.0958316833787594
"192",192,2,"ice-free",9,2.32544821861799,23,3,"m",1,0.405034718392728,1.21593695305176,-0.302973313486946,2,1,0.405034718392728
"193",193,2,"ice-free",3,-0.105333891435658,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,2,1,-2.41590687749337
"194",194,1,"ice",3,-0.105333891435658,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,5,1,0.279727493975054
"195",195,2,"ice-free",5,0.704926811915559,3,3,"m",1,-0.498855519170118,-0.0506640397104899,0.328221089610858,2,1,-0.498855519170118
"196",196,1,"ice",2,-0.510464243111267,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,7,0,0.354091364656257
"197",197,1,"ice",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,6,1,-0.444481134288878
